X,Y,id,type2,lat,lon,DISTRICT_E
114.1602846,22.3285899,223,robbery,22.328589900000001,114.160284600000000,Sham Shui Po
114.2604425,22.311524,224,rape,22.311523999999999,114.260442500000000,Sai Kung
114.1696544,22.3175044,225,rape,22.317504400000001,114.169654400000000,Yau Tsim Mong
114.1480705,22.2872325,226,rape,22.287232499999998,114.148070500000000,Central & Western
114.0451814,22.4777336,227,burglary,22.477733600000001,114.045181400000000,Yuen Long
114.2227035,22.3103686,228,rape,22.310368600000000,114.222703499999990,Kwun Tong
114.146908,22.3320934,229,robbery,22.332093400000002,114.146908000000000,Sham Shui Po
114.215841,22.328099,230,violent crime,22.328099000000002,114.215841000000000,Kwun Tong
114.130842,22.3626051,231,wounding and serious assault,22.362605100000000,114.130842000000000,Kwai Tsing
114.1761625,22.3793305,232,burglary,22.379330499999998,114.176162500000000,Sha Tin
114.1684272,22.2778935,233,rape,22.277893500000001,114.168427200000000,Wan Chai
114.1288935,22.3429139,234,wounding and serious assault,22.342913899999999,114.128893500000000,Kwai Tsing
114.1880245,22.3417611,235,rape,22.341761099999999,114.188024500000000,Wong Tai Sin
114.1990482,22.3246084,236,wounding and serious assault,22.324608399999999,114.199048199999990,Kowloon City
114.1990482,22.3246084,237,rape,22.324608399999999,114.199048199999990,Kowloon City
114.1990482,22.3246084,238,rape,22.324608399999999,114.199048199999990,Kowloon City
114.169773,22.3203648,239,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.165349,22.3376695,240,wounding and serious assault,22.337669500000001,114.165349000000010,Sham Shui Po
114.2227035,22.3103686,241,serious drug offenses,22.310368600000000,114.222703499999990,Kwun Tong
114.1144306,22.3699122,242,rape,22.369912200000002,114.114430600000010,Tsuen Wan
114.1736608,22.3697293,243,deception,22.369729299999999,114.173660799999990,Sha Tin
114.169773,22.3203648,244,deception,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.169773,22.3203648,246,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1796057,22.3185673,247,rape,22.318567300000002,114.179605700000000,Kowloon City
114.155542,22.319137,248,violent crime,22.319137000000001,114.155542000000000,Yau Tsim Mong
114.1929727,22.3226417,249,violent crime,22.322641699999998,114.192972700000000,Kowloon City
114.1491375,22.2863943,250,burglary,22.286394300000001,114.149137499999990,Central & Western
114.1144306,22.3699122,251,serious drug offenses,22.369912200000002,114.114430600000010,Tsuen Wan
114.1144306,22.3699122,252,robbery,22.369912200000002,114.114430600000010,Tsuen Wan
114.1745488,22.300916,253,robbery,22.300916000000001,114.174548800000000,Yau Tsim Mong
114.1796057,22.3185673,254,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.1974398,22.3771304,255,wounding and serious assault,22.377130399999999,114.197439800000000,Sha Tin
114.1144306,22.3699122,256,robbery,22.369912200000002,114.114430600000010,Tsuen Wan
114.169773,22.3203648,257,serious drug offenses,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1559823,22.2805197,258,wounding and serious assault,22.280519699999999,114.155982300000010,Central & Western
114.1023164,22.5038012,260,burglary,22.503801200000002,114.102316400000010,North
114.0222076,22.4445376,262,robbery,22.444537600000000,114.022207600000000,Yuen Long
114.116042,22.370501,263,robbery,22.370501000000001,114.116041999999990,Tsuen Wan
114.2167592,22.322466,264,robbery,22.322465999999999,114.216759200000000,Kwun Tong
114.1384766,22.4917369,265,deception,22.491736899999999,114.138476600000000,North
114.1632571,22.31975,266,robbery,22.319749999999999,114.163257100000000,Yau Tsim Mong
114.169773,22.3203648,267,robbery,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1825781,22.2762468,268,rape,22.276246799999999,114.182578100000000,Wan Chai
114.1741886,22.2990937,270,robbery,22.299093700000000,114.174188599999990,Yau Tsim Mong
114.1971229,22.2371597,273,burglary,22.237159699999999,114.197122900000000,Southern
114.1865135,22.268352,274,wounding and serious assault,22.268352000000000,114.186513500000000,Wan Chai
114.1769569,22.2965769,275,deception,22.296576900000002,114.176956899999990,Yau Tsim Mong
114.1654865,22.2796357,276,wounding and serious assault,22.279635700000000,114.165486500000000,Central & Western
114.1655064,22.4423218,277,homicide,22.442321799999998,114.165506400000000,Tai Po
114.1655064,22.4423218,278,homicide,22.442321799999998,114.165506400000000,Tai Po
114.1655064,22.4423218,279,homicide,22.442321799999998,114.165506400000000,Tai Po
114.1414685,22.4916829,280,homicide,22.491682900000001,114.141468500000000,North
114.1796057,22.3185673,281,serious drug offenses,22.318567300000002,114.179605700000000,Kowloon City
114.1414685,22.4916829,282,wounding and serious assault,22.491682900000001,114.141468500000000,North
114.146908,22.3320934,283,burglary,22.332093400000002,114.146908000000000,Sham Shui Po
114.1655064,22.4423218,284,burglary,22.442321799999998,114.165506400000000,Tai Po
114.1524398,22.2483068,285,robbery,22.248306800000002,114.152439800000000,Southern
114.2348969,22.3186108,286,rape,22.318610799999998,114.234896900000000,Kwun Tong
114.1292619,22.2822235,287,wounding and serious assault,22.282223500000001,114.129261900000000,Central & Western
114.1654865,22.2796357,288,wounding and serious assault,22.279635700000000,114.165486500000000,Central & Western
114.169773,22.3203648,289,serious drug offenses,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.2707867,22.383689,290,burglary,22.383689000000000,114.270786700000000,Sai Kung
114.1929813,22.3429615,291,burglary,22.342961500000001,114.192981300000000,Wong Tai Sin
114.1796057,22.3185673,292,serious drug offenses,22.318567300000002,114.179605700000000,Kowloon City
114.1290719,22.2679201,293,violent crime,22.267920100000001,114.129071900000000,Southern
